j_50_cd,left,top,right,bottom,xcoord,ycoord,oid_count
1291347,905800,1501700,905850,1501650,905825,1501675,211
1287581,905500,1501000,905550,1500950,905525,1500975,180
1308641,907150,1501700,907200,1501650,907175,1501675,174
1288203,905550,1501000,905600,1500950,905575,1500975,158
1311801,907400,1503100,907450,1503050,907425,1503075,155
1311176,907350,1502550,907400,1502500,907375,1502525,150
1299014,906400,1500950,906450,1500900,906425,1500925,140
1338758,909550,1502550,909600,1502500,909575,1502525,130
1340617,909700,1502700,909750,1502650,909725,1502675,126
1305403,906900,1503300,906950,1503250,906925,1503275,109
1286957,905450,1501000,905500,1500950,905475,1500975,107
1299654,906450,1500950,906500,1500900,906475,1500925,103
1305402,906900,1503350,906950,1503300,906925,1503325,97
1341239,909750,1502700,909800,1502650,909775,1502675,96
1311172,907350,1502750,907400,1502700,907375,1502725,94
1298374,906350,1500950,906400,1500900,906375,1500925,91
1377735,912600,1473600,912650,1473550,912625,1473575,88
1744805,947000,1492600,947050,1492550,947025,1492575,83
1314407,907600,1500200,907650,1500150,907625,1500175,82
1037939,882750,1489800,882800,1489750,882775,1489775,79
1103416,889200,1472050,889250,1472000,889225,1472025,78
1104492,889350,1497550,889400,1497500,889375,1497525,77
1308640,907150,1501750,907200,1501700,907175,1501725,75
1508806,922900,1505850,922950,1505800,922925,1505825,74
1283203,905150,1501200,905200,1501150,905175,1501175,66
1309960,907250,1499750,907300,1499700,907275,1499725,66
1291348,905800,1501650,905850,1501600,905825,1501625,62
1311827,907400,1501800,907450,1501750,907425,1501775,62
1267525,903900,1500800,903950,1500750,903925,1500775,61
1302819,906700,1503400,906750,1503350,906725,1503375,61
1745295,947550,1496900,947600,1496850,947575,1496875,60
1266284,903800,1500750,903850,1500700,903825,1500725,59
1291983,905850,1501700,905900,1501650,905875,1501675,59
1222056,899950,1472450,900000,1472400,899975,1472425,56
1745255,947500,1496900,947550,1496850,947525,1496875,56
1450277,918200,1474000,918250,1473950,918225,1473975,55
1037940,882750,1489750,882800,1489700,882775,1489725,53
1099420,888850,1485050,888900,1485000,888875,1485025,53
1375201,912400,1473000,912450,1472950,912425,1472975,52
1315676,907700,1500250,907750,1500200,907725,1500225,51
1379027,912700,1473600,912750,1473550,912725,1473575,51
1256647,903000,1500600,903050,1500550,903025,1500575,49
1297734,906300,1500950,906350,1500900,906325,1500925,48
1283827,905200,1501200,905250,1501150,905225,1501175,47
1378379,912650,1473600,912700,1473550,912675,1473575,47
1140506,892600,1490050,892650,1490000,892625,1490025,46
1283204,905150,1501150,905200,1501100,905175,1501125,46
1139951,892550,1490000,892600,1489950,892575,1489975,45
1338138,909500,1502550,909550,1502500,909525,1502525,45
1267524,903900,1500850,903950,1500800,903925,1500825,44
1744751,946950,1492600,947000,1492550,946975,1492575,44
1210889,898950,1473100,899000,1473050,898975,1473075,43
1304145,906800,1501900,906850,1501850,906825,1501875,43
1256058,902950,1500650,903000,1500600,902975,1500625,42
1309959,907250,1499800,907300,1499750,907275,1499775,41
1379026,912700,1473650,912750,1473600,912725,1473625,41
1625219,932350,1504400,932400,1504350,932375,1504375,41
1391869,913700,1473000,913750,1472950,913725,1472975,40
1379679,912750,1473600,912800,1473550,912775,1473575,39
1644654,934000,1479650,934050,1479600,934025,1479625,39
1106676,889550,1497150,889600,1497100,889575,1497125,38
1375833,912450,1473000,912500,1472950,912475,1472975,38
1666876,936000,1500150,936050,1500100,936025,1500125,38
1360144,911200,1472650,911250,1472600,911225,1472625,37
1508805,922900,1505900,922950,1505850,922925,1505875,37
1311191,907350,1501800,907400,1501750,907375,1501775,36
1666312,935950,1500150,936000,1500100,935975,1500125,36
1298375,906350,1500900,906400,1500850,906375,1500875,35
1745256,947500,1496850,947550,1496800,947525,1496825,35
1034624,882300,1489350,882350,1489300,882325,1489325,34
1034977,882350,1489400,882400,1489350,882375,1489375,33
1210888,898950,1473150,899000,1473100,898975,1473125,33
1214167,899250,1474100,899300,1474050,899275,1474075,33
1409977,915150,1477900,915200,1477850,915175,1477875,33
1504767,922550,1495300,922600,1495250,922575,1495275,33
1253703,902750,1501100,902800,1501050,902775,1501075,32
1744502,946700,1493550,946750,1493500,946725,1493525,32
1506975,922750,1506100,922800,1506050,922775,1506075,31
1611534,931200,1507450,931250,1507400,931225,1507425,31
1612124,931250,1507450,931300,1507400,931275,1507425,31
1736524,944100,1494450,944150,1494400,944125,1494425,31
1745021,947250,1498000,947300,1497950,947275,1497975,31
1111479,889950,1472600,890000,1472550,889975,1472575,30
1122124,890950,1484650,891000,1484600,890975,1484625,30
1160923,894450,1489400,894500,1489350,894475,1489375,30
1161477,894500,1489400,894550,1489350,894525,1489375,30
1287582,905500,1500950,905550,1500900,905525,1500925,30
1314406,907600,1500250,907650,1500200,907625,1500225,30
1377736,912600,1473550,912650,1473500,912625,1473525,30
1744535,946750,1493500,946800,1493450,946775,1493475,30
1745069,947300,1498000,947350,1497950,947325,1497975,30
1139394,892500,1489950,892550,1489900,892525,1489925,29
1221484,899900,1472450,899950,1472400,899925,1472425,29
1288202,905550,1501050,905600,1501000,905575,1501025,29
1312437,907450,1503100,907500,1503050,907475,1503075,29
1335024,909250,1503350,909300,1503300,909275,1503325,29
1039959,883000,1485500,883050,1485450,883025,1485475,28
1104463,889300,1472300,889350,1472250,889325,1472275,28
1104491,889350,1497600,889400,1497550,889375,1497575,28
1162252,894550,1478350,894600,1478300,894575,1478325,28
1303467,906750,1503400,906800,1503350,906775,1503375,28
1736525,944100,1494400,944150,1494350,944125,1494375,28
1081625,887150,1479900,887200,1479850,887175,1479875,27
1209789,898850,1473200,898900,1473150,898875,1473175,27
1330705,908900,1502700,908950,1502650,908925,1502675,27
1506979,922750,1505900,922800,1505850,922775,1505875,27
1037560,882700,1489750,882750,1489700,882725,1489725,26
1104495,889350,1497400,889400,1497350,889375,1497375,26
1214168,899250,1474050,899300,1474000,899275,1474025,26
