car_id,trajectory
461000a0,['POI28']
461000b4,['POI49']
461000b5,"['POI18', 'POI28', 'POI12', 'POI25']"
461000db,[]
461000e2,['POI19']
46100103,"['POI18', 'POI28', 'POI12', 'POI25', 'POI12', 'POI28']"
46100109,[]
4610011d,['POI19']
46100134,['POI19']
46100142,"['POI37', 'POI19']"
46100151,['POI19']
4610016e,[]
46100191,"['POI0', 'POI19', 'POI32', 'POI30', 'POI1']"
46100193,[]
46100198,['POI19']
461001aa,"['POI19', 'POI32']"
461001ab,"['POI0', 'POI25', 'POI12']"
461001c4,['POI19']
461001d3,['POI46']
461001db,"['POI6', 'POI37', 'POI18', 'POI28', 'POI12', 'POI19']"
461001eb,['POI19']
461001f5,['POI19']
46100207,"['POI44', 'POI16', 'POI40']"
4610020d,"['POI3', 'POI41']"
46100214,"['POI20', 'POI7']"
46100229,"['POI19', 'POI0']"
4610022e,['POI7']
4610023e,['POI25']
46100259,['POI12']
46100277,"['POI28', 'POI12', 'POI19', 'POI0', 'POI25']"
46100281,"['POI25', 'POI0']"
46100283,['POI42']
46100286,"['POI19', 'POI25', 'POI12']"
4610028a,"['POI32', 'POI12']"
46100293,"['POI19', 'POI12', 'POI28', 'POI18']"
4610029a,"['POI37', 'POI18', 'POI28', 'POI12']"
4610029d,"['POI46', 'POI4', 'POI30', 'POI5', 'POI32', 'POI19', 'POI25']"
461002a0,['POI19']
461002a3,['POI25']
461002b3,"['POI0', 'POI25']"
461002db,"['POI26', 'POI32', 'POI12', 'POI25', 'POI19', 'POI12', 'POI28', 'POI18', 'POI37', 'POI6', 'POI41', 'POI3']"
461002e2,[]
461002e3,"['POI26', 'POI32', 'POI19', 'POI0', 'POI19', 'POI25']"
46100304,['POI19']
4610030d,"['POI19', 'POI42']"
4610032c,"['POI40', 'POI16', 'POI44', 'POI2', 'POI24', 'POI44', 'POI16', 'POI40']"
46100338,['POI9']
4610033a,['POI25']
46100350,"['POI1', 'POI4', 'POI46', 'POI17', 'POI10', 'POI29']"
4610035b,['POI25']
4610035d,"['POI20', 'POI7']"
46100377,"['POI30', 'POI32', 'POI19', 'POI25']"
46100379,"['POI36', 'POI47']"
46100385,['POI42']
46100390,['POI29']
46100396,"['POI25', 'POI19', 'POI25']"
46100399,[]
461003a4,['POI4']
461003c9,['POI28']
461003cc,['POI25']
461003d1,[]
461003d4,[]
461003e5,['POI12']
461003ff,"['POI12', 'POI25']"
46100403,"['POI7', 'POI20']"
46100406,['POI25']
4610041d,"['POI19', 'POI12']"
46100428,[]
46100429,['POI37']
46100430,"['POI5', 'POI32', 'POI12']"
46100438,['POI41']
46100443,"['POI34', 'POI47', 'POI0', 'POI25', 'POI12']"
4610044e,[]
46100458,"['POI18', 'POI28', 'POI12', 'POI25']"
4610045b,['POI18']
4610045f,"['POI25', 'POI0']"
46100467,"['POI25', 'POI12', 'POI28']"
46100472,['POI25']
46100486,"['POI25', 'POI12', 'POI25', 'POI12']"
46100491,[]
4610049b,['POI12']
461004b2,"['POI46', 'POI4', 'POI30', 'POI32', 'POI19', 'POI25']"
461004bb,['POI12']
461004d3,[]
461004e2,['POI4']
461004e3,[]
461004ea,"['POI25', 'POI0']"
461004eb,"['POI19', 'POI25', 'POI12']"
461004f8,['POI37']
461004fe,['POI37']
46100504,"['POI12', 'POI19', 'POI36', 'POI32']"
46100506,"['POI28', 'POI12']"
46100514,"['POI28', 'POI12', 'POI28']"
46100516,['POI4']
46100519,[]
4610051c,"['POI12', 'POI25']"
4610052a,['POI19']
4610053e,"['POI46', 'POI17', 'POI46', 'POI4', 'POI49', 'POI30', 'POI32', 'POI12']"
4610054d,[]
46100557,['POI9']
46100568,['POI31']
46100577,"['POI12', 'POI25', 'POI0']"
4610057b,"['POI12', 'POI25', 'POI19', 'POI0']"
4610058f,"['POI19', 'POI25', 'POI12']"
46100592,"['POI32', 'POI19', 'POI25']"
46100593,['POI12']
4610059d,['POI42']
461005ad,['POI19']
461005b0,"['POI31', 'POI3', 'POI41']"
461005b2,[]
461005b4,[]
461005c5,['POI25']
461005dc,"['POI28', 'POI12', 'POI19']"
461005df,[]
461005e4,[]
461005ea,"['POI0', 'POI38']"
461005ec,[]
461005f2,[]
46100617,"['POI9', 'POI38', 'POI19', 'POI25', 'POI12']"
4610061c,"['POI46', 'POI32', 'POI12']"
4610061d,['POI13']
46100630,['POI25']
46100641,['POI25']
46100649,['POI25']
4610065d,['POI0']
46100673,['POI28']
4610068e,[]
46100696,"['POI32', 'POI28']"
4610069c,['POI24']
461006a0,"['POI31', 'POI3']"
461006b3,['POI19']
461006c2,"['POI47', 'POI36', 'POI18', 'POI37', 'POI6']"
461006ed,['POI37']
461006f0,[]
4610070d,['POI28']
4610070e,['POI19']
4610072b,"['POI30', 'POI32', 'POI28']"
4610074f,['POI12']
46100754,[]
46100776,[]
46100780,"['POI23', 'POI13', 'POI45', 'POI49']"
46100785,[]
4610078c,['POI19']
461007bd,"['POI6', 'POI37', 'POI36']"
461007c8,['POI25']
461007d5,"['POI18', 'POI28', 'POI12', 'POI19']"
461007dc,"['POI19', 'POI25', 'POI12']"
