46100025,[]
4610004e,['POI9']
46100082,[]
46100093,['POI18']
461000b4,[]
461000b5,['POI30']
461000b6,"['POI19', 'POI12']"
461000b7,['POI11']
461000ba,"['POI18', 'POI28']"
461000bd,['POI9']
461000be,"['POI26', 'POI30', 'POI49', 'POI4', 'POI46']"
461000bf,"['POI32', 'POI36']"
461000c0,"['POI4', 'POI46', 'POI17']"
461000c1,['POI12']
461000c5,[]
461000d6,"['POI15', 'POI47']"
461000de,"['POI20', 'POI7', 'POI24']"
461000e0,"['POI10', 'POI17', 'POI46']"
461000e2,['POI30']
461000e3,['POI19']
461000e5,[]
461000e7,['POI46']
461000e9,"['POI27', 'POI30', 'POI32']"
461000ea,"['POI28', 'POI32', 'POI30', 'POI17', 'POI10']"
461000ee,['POI23']
461000f0,"['POI4', 'POI41', 'POI3']"
461000f1,[]
461000f6,"['POI1', 'POI49']"
461000fe,"['POI45', 'POI23', 'POI17', 'POI46', 'POI4']"
46100100,"['POI30', 'POI26', 'POI6']"
46100103,['POI45']
46100106,[]
46100107,"['POI3', 'POI41']"
46100108,"['POI2', 'POI34', 'POI13']"
4610010b,[]
46100113,[]
46100119,"['POI8', 'POI48', 'POI15']"
4610011c,['POI30']
4610011d,['POI9']
4610011e,"['POI8', 'POI10']"
4610011f,['POI49']
46100122,"['POI7', 'POI20']"
46100124,"['POI30', 'POI4']"
46100129,[]
4610012a,['POI7']
46100130,"['POI9', 'POI38']"
46100133,"['POI28', 'POI12', 'POI19']"
46100136,"['POI0', 'POI38', 'POI40', 'POI16', 'POI44', 'POI24']"
46100137,"['POI20', 'POI34', 'POI13']"
46100138,['POI20']
4610013a,"['POI24', 'POI44']"
4610013d,"['POI49', 'POI1']"
4610013f,['POI2']
46100140,"['POI19', 'POI36']"
46100142,"['POI49', 'POI27']"
46100145,[]
46100146,['POI6']
46100148,[]
4610014a,['POI37']
4610014b,['POI46']
46100152,['POI9']
46100156,"['POI49', 'POI30', 'POI32', 'POI18', 'POI37', 'POI6']"
46100158,['POI21']
46100159,"['POI4', 'POI46']"
4610015a,"['POI3', 'POI41']"
4610015b,"['POI9', 'POI40', 'POI16', 'POI44']"
4610015c,['POI38']
4610015e,['POI41']
46100163,"['POI7', 'POI20', 'POI7']"
46100164,"['POI30', 'POI26']"
46100167,"['POI6', 'POI37', 'POI18']"
46100168,"['POI10', 'POI17']"
46100169,"['POI27', 'POI49', 'POI1', 'POI49']"
4610016a,['POI0']
4610016c,['POI25']
46100170,[]
46100173,['POI0']
46100179,"['POI44', 'POI40', 'POI38', 'POI19', 'POI25']"
46100184,['POI7']
46100186,"['POI19', 'POI0', 'POI19']"
46100187,"['POI22', 'POI39', 'POI11', 'POI27', 'POI49']"
4610018f,"['POI10', 'POI17']"
46100190,"['POI7', 'POI24']"
46100191,"['POI7', 'POI20']"
46100195,['POI1']
46100198,['POI13']
46100199,"['POI25', 'POI19', 'POI12', 'POI32', 'POI30', 'POI49']"
4610019c,[]
4610019f,"['POI32', 'POI30', 'POI49']"
461001a2,['POI34']
461001a3,['POI5']
461001aa,[]
461001ab,"['POI12', 'POI25', 'POI19', 'POI36']"
461001b0,['POI5']
461001b8,[]
461001ba,"['POI4', 'POI1']"
461001be,"['POI29', 'POI10', 'POI17', 'POI46', 'POI4']"
461001bf,"['POI19', 'POI42', 'POI23', 'POI17', 'POI46']"
461001c8,[]
461001cb,"['POI25', 'POI19', 'POI38']"
461001d1,"['POI32', 'POI19', 'POI25']"
461001d2,['POI28']
461001d4,"['POI43', 'POI30', 'POI49']"
461001e2,[]
461001e3,[]
461001eb,"['POI46', 'POI17', 'POI10', 'POI29', 'POI8']"
461001ec,"['POI32', 'POI19', 'POI25', 'POI0']"
461001f5,[]
461001f8,['POI3']
461001fc,['POI3']
461001ff,[]
46100200,['POI7']
46100204,['POI19']
46100206,"['POI21', 'POI22']"
46100208,[]
4610020a,[]
4610020c,"['POI10', 'POI17', 'POI46', 'POI4']"
46100214,"['POI34', 'POI15']"
4610021a,['POI21']
4610021b,['POI25']
4610021c,['POI7']
4610021d,['POI19']
46100223,"['POI13', 'POI15', 'POI48', 'POI8']"
46100224,['POI9']
46100226,['POI26']
46100227,"['POI6', 'POI41', 'POI26']"
46100229,['POI5']
46100231,"['POI12', 'POI25', 'POI19']"
46100232,['POI27']
46100238,['POI19']
46100239,['POI41']
4610023c,"['POI6', 'POI41', 'POI43']"
4610023e,['POI12']
46100241,['POI4']
4610024b,[]
4610024d,"['POI43', 'POI5']"
46100252,"['POI3', 'POI41']"
46100256,['POI30']
46100259,"['POI38', 'POI40']"
46100260,"['POI19', 'POI38']"
46100261,['POI20']
4610026d,"['POI18', 'POI41', 'POI3']"
4610026f,[]
46100270,"['POI24', 'POI2']"
4610027b,"['POI38', 'POI19']"
