,POI0,POI1,POI2,POI3,POI4,POI5,POI6,POI7,POI8,POI9,POI10,POI11,POI12,POI13,POI14,POI15,POI16,POI17,POI18,POI19,POI20,POI21,POI22,POI23,POI24,POI25,POI26,POI27,POI28,POI29,POI30,POI31,POI32,POI33,POI34,POI35,POI36,POI37,POI38,POI39,POI40,POI41,POI42,POI43,POI44,POI45,POI46,POI47,POI48,POI49
POI0,0,0,0,26,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,62,1
POI1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POI2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,3,0,2,0,0,39,0,0,0,0,1,0,0,0,0,112,0,7,0,0,0,0,0,1,1
POI3,18,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,20,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,115,0,0,43,0
POI4,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,2,0,20,0,8,0,0,2,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0
POI5,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,3,0,3,0,0,0,0,104,0,0,0,65,0,0,0,0,1,0,0,0,0
POI6,0,0,0,0,0,0,0,7,1,0,0,1,0,0,11,0,0,0,3,46,0,0,0,12,0,0,0,0,18,0,0,0,0,16,0,0,2,0,0,1,0,0,0,1,0,0,0,8,0,1
POI7,0,0,0,0,0,0,9,0,0,2,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1
POI8,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,2,2,0,0,0,0,3,0,0,1,0,0,0,0,2,1,0,2,0,38,0,18,0,1,0,0,3,0,2,0,0,2
POI9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,1,0,2,0,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
